timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 13:25:28.923, 0, 3 %, 37 %, 1294 MiB, 12282 MiB, 210 MHz, 7.59 W, 29
2025/09/12 13:25:29.928, 0, 3 %, 37 %, 1301 MiB, 12282 MiB, 210 MHz, 8.13 W, 29
2025/09/12 13:25:30.933, 0, 3 %, 31 %, 1301 MiB, 12282 MiB, 210 MHz, 8.83 W, 29
2025/09/12 13:25:31.942, 0, 3 %, 36 %, 1301 MiB, 12282 MiB, 210 MHz, 8.64 W, 29
2025/09/12 13:25:32.947, 0, 3 %, 35 %, 1301 MiB, 12282 MiB, 210 MHz, 7.97 W, 29
2025/09/12 13:25:33.960, 0, 3 %, 30 %, 1320 MiB, 12282 MiB, 210 MHz, 7.76 W, 29
2025/09/12 13:25:34.965, 0, 3 %, 32 %, 1320 MiB, 12282 MiB, 210 MHz, 8.43 W, 29
2025/09/12 13:25:35.975, 0, 3 %, 39 %, 1320 MiB, 12282 MiB, 210 MHz, 8.81 W, 29
2025/09/12 13:25:36.985, 0, 5 %, 43 %, 1320 MiB, 12282 MiB, 210 MHz, 8.41 W, 29
2025/09/12 13:25:37.994, 0, 4 %, 29 %, 1316 MiB, 12282 MiB, 210 MHz, 7.75 W, 29
2025/09/12 13:25:39.003, 0, 3 %, 28 %, 1298 MiB, 12282 MiB, 210 MHz, 7.81 W, 29
2025/09/12 13:25:40.007, 0, 3 %, 37 %, 1301 MiB, 12282 MiB, 210 MHz, 8.46 W, 29
2025/09/12 13:25:41.013, 0, 3 %, 30 %, 1301 MiB, 12282 MiB, 210 MHz, 8.79 W, 29
2025/09/12 13:25:42.018, 0, 4 %, 23 %, 1309 MiB, 12282 MiB, 210 MHz, 8.29 W, 29
2025/09/12 13:25:43.021, 0, 7 %, 30 %, 1309 MiB, 12282 MiB, 210 MHz, 7.52 W, 29
2025/09/12 13:25:44.024, 0, 4 %, 29 %, 1309 MiB, 12282 MiB, 210 MHz, 7.78 W, 29
2025/09/12 13:25:45.028, 0, 4 %, 33 %, 1309 MiB, 12282 MiB, 210 MHz, 8.55 W, 29
2025/09/12 13:25:46.032, 0, 4 %, 29 %, 1304 MiB, 12282 MiB, 210 MHz, 8.80 W, 29
2025/09/12 13:25:47.036, 0, 5 %, 25 %, 1293 MiB, 12282 MiB, 210 MHz, 8.28 W, 29
