procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13809688 659396 8403188    0    0     0    84 1055 1093  1  0 99  0  0
 0  0      0 13809688 659396 8403188    0    0     0     0  487  571  0  0 100  0  0
 0  0      0 13809688 659396 8403188    0    0     0     0  472  694  0  0 100  0  0
 0  0      0 13809688 659404 8403196    0    0     0    40  427  656  0  0 100  0  0
 0  0      0 13809688 659404 8403196    0    0     0     0  398  622  0  0 100  0  0
 0  0      0 13885568 659404 8403200    0    0     0     0  423  623  0  0 100  0  0
 1  0      0 13883448 659404 8403204    0    0     0     0  902  668  0  3 97  0  0
 1  0      0 13761236 659404 8403212    0    0     0     0 2956 2967  3  3 94  0  0
 0  0      0 13761796 659412 8403216    0    0     0    32 1433 1355  1  0 99  0  0
 0  0      0 13761796 659412 8403216    0    0     0     0  764  659  0  0 100  0  0
 0  0      0 13761796 659412 8403224    0    0     0     0  622  540  0  0 100  0  0
 0  0      0 13761544 659412 8403224    0    0     0     0 1021  935  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13761544 659412 8403228    0    0     0     0  739  678  0  0 100  0  0
 0  0      0 13761544 659416 8403228    0    0     0    32  709  600  0  0 100  0  0
 1  0      0 13761544 659416 8403236    0    0     0     0  723  635  0  0 100  0  0
 0  0      0 13761544 659416 8403236    0    0     0     0  708  603  0  0 100  0  0
 0  0      0 13761544 659416 8403236    0    0     0     0  737  610  0  0 100  0  0
 0  0      0 13761544 659416 8403240    0    0     0     0  730  644  0  0 100  0  0
 0  0      0 13756284 659420 8403244    0    0     0    28 1883 2084  0  1 99  0  0
 0  0      0 13756032 659420 8403248    0    0     0     0  876  692  0  0 99  0  0
 0  0      0 13754520 659420 8403248    0    0     0   184 1228 1028  1  0 99  0  0
 0  0      0 13754296 659420 8403260    0    0     0     0  791  682  0  0 100  0  0
 0  0      0 13751272 659420 8403260    0    0     0     0  997  742  1  0 99  0  0
 0  0      0 13794896 659424 8403260    0    0     0    88  951 1044  1  0 99  0  0
 0  0      0 13794644 659424 8403264    0    0     0     0  971 1247  0  0 99  0  0
 0  0      0 13794644 659424 8403268    0    0     0    76  726  700  0  0 100  0  0
 0  0      0 13794644 659424 8403272    0    0     0     0  775  747  0  0 100  0  0
 0  0      0 13792628 659424 8403272    0    0     0     0  780  734  0  0 100  0  0
 0  0      0 13792628 659432 8403276    0    0     0    72  722  682  0  0 100  0  0
 0  0      0 13792628 659432 8403276    0    0     0     0  783  754  0  0 100  0  0
 0  0      0 13792628 659432 8403280    0    0     0     0  650  625  0  0 100  0  0
 0  0      0 13792628 659432 8403284    0    0     0    76  786  688  0  0 100  0  0
 0  0      0 13791648 659432 8403292    0    0     0    84 1167 1036  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13791648 659440 8403292    0    0     0    52  542  674  0  0 100  0  0
17  0      0 13779808 659440 8403292    0    0     0     0 2058 3861  4  1 95  0  0
 1  0      0 13617960 659440 8403344    0    0     0     4 3250 5688 15  2 82  0  0
 1  0      0 13516656 659440 8403348    0    0     0    52 1123 1198  5  2 93  0  0
 1  0      0 13483392 659440 8403348    0    0     0     0 1142 1406  5  1 93  0  0
 1  0      0 13407292 659440 8403364    0    0     0   124 1783 1135  5  2 93  0  0
 1  0      0 13216804 659440 8403368    0    0     0     0 1795 1015  4  3 93  0  0
 1  0      0 13134680 659440 8403424    0    0     0     0 1529  810  5  1 93  0  0
 1  0      0 12887384 659440 8403424    0    0     0   120 1659  863  5  2 93  0  0
 1  0      0 13753008 659440 8403372    0    0     0 54160 1998  969  5  2 93  0  0
 0  0      0 13797592 659452 8403348    0    0     0   116 1192 1105  0  0 99  0  0
 0  0      0 13796588 659452 8403364    0    0     0     0 1087  933  0  1 99  0  0
 0  0      0 13796588 659452 8403364    0    0     0     0  655  608  0  0 100  0  0
 0  0      0 13796336 659452 8403364    0    0     0     0  958  854  1  0 99  0  0
 0  0      0 13875256 659452 8403364    0    0     0     0  783  678  0  0 100  0  0
 0  0      0 13756336 659460 8403372    0    0     0    28 2695 2175  3  1 96  0  0
 0  0      0 13756084 659460 8403372    0    0     0     0 1118  898  0  0 100  0  0
 0  0      0 13755832 659460 8403372    0    0     0     0  890  789  0  0 99  0  0
 0  0      0 13755832 659460 8403384    0    0     0     0  668  609  0  0 100  0  0
 0  0      0 13755832 659460 8403384    0    0     0     0  736  678  0  0 100  0  0
 0  0      0 13755832 659468 8403388    0    0     0    28  735  685  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13755832 659468 8403392    0    0     0     0  786  704  0  0 100  0  0
 0  0      0 13755832 659468 8403400    0    0     0     0  810  733  0  0 100  0  0
 0  0      0 13755832 659468 8403400    0    0     0     0  861  778  0  0 100  0  0
 0  0      0 13755076 659468 8403400    0    0     0     0  833  748  0  0 99  0  0
 0  0      0 13755076 659472 8403404    0    0     0    28  771  731  0  0 100  0  0
 0  0      0 13755076 659472 8403408    0    0     0     0  768  738  0  0 100  0  0
 0  0      0 13755076 659472 8403408    0    0     0     0  773  693  0  0 100  0  0
 0  0      0 13754824 659472 8403416    0    0     0     0  767  723  0  0 100  0  0
 0  0      0 13754824 659472 8403424    0    0     0   148  849  794  0  0 100  0  0
 0  0      0 13753340 659480 8403424    0    0     0   100 1409 1167  3  0 97  0  0
