timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 12:50:02.778, 0, 45 %, 16 %, 3518 MiB, 12282 MiB, 1050 MHz, 31.40 W, 38
2025/09/12 12:50:03.782, 0, 34 %, 12 %, 3518 MiB, 12282 MiB, 1050 MHz, 39.00 W, 40
2025/09/12 12:50:04.785, 0, 41 %, 18 %, 3518 MiB, 12282 MiB, 1230 MHz, 43.92 W, 39
2025/09/12 12:50:05.788, 0, 36 %, 12 %, 3518 MiB, 12282 MiB, 1245 MHz, 45.53 W, 39
2025/09/12 12:50:06.791, 0, 30 %, 11 %, 3519 MiB, 12282 MiB, 1395 MHz, 42.35 W, 40
2025/09/12 12:50:07.795, 0, 32 %, 13 %, 3519 MiB, 12282 MiB, 1650 MHz, 43.65 W, 46
2025/09/12 12:50:08.799, 0, 9 %, 4 %, 3519 MiB, 12282 MiB, 1650 MHz, 35.16 W, 40
2025/09/12 12:50:09.802, 0, 12 %, 5 %, 3519 MiB, 12282 MiB, 885 MHz, 32.93 W, 38
2025/09/12 12:50:10.806, 0, 46 %, 20 %, 3519 MiB, 12282 MiB, 1290 MHz, 41.47 W, 38
2025/09/12 12:50:11.810, 0, 34 %, 17 %, 3519 MiB, 12282 MiB, 1290 MHz, 39.25 W, 39
2025/09/12 12:50:12.814, 0, 28 %, 10 %, 3523 MiB, 12282 MiB, 1440 MHz, 41.22 W, 41
2025/09/12 12:50:13.818, 0, 25 %, 9 %, 3519 MiB, 12282 MiB, 1440 MHz, 38.78 W, 38
2025/09/12 12:50:14.822, 0, 12 %, 5 %, 3519 MiB, 12282 MiB, 1530 MHz, 35.63 W, 38
2025/09/12 12:50:15.826, 0, 10 %, 3 %, 3523 MiB, 12282 MiB, 990 MHz, 33.24 W, 38
2025/09/12 12:50:16.829, 0, 30 %, 8 %, 3523 MiB, 12282 MiB, 1185 MHz, 35.87 W, 42
2025/09/12 12:50:17.833, 0, 45 %, 13 %, 3524 MiB, 12282 MiB, 1350 MHz, 35.22 W, 39
