procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12636376 657192 8314344    0    0     0     0 2630 2198  6  1 93  0  0
 1  0      0 12631212 657192 8314412    0    0     0   160 2778 2478  6  1 93  0  0
 1  0      0 12619744 657192 8314520    0    0     0     0 1933 1488  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12619744 657192 8314596    0    0     0     0 1851 1471  5  1 93  0  0
 3  0      0 12630440 657192 8314660    0    0     0   432 2109 1724  6  1 93  0  0
 1  0      0 12598020 657192 8314668    0    0     0     0 2596 2236  6  2 93  0  0
 2  0      0 12596760 657200 8314748    0    0     0    84 2603 2185  6  1 93  0  0
 1  0      0 12602220 657200 8314748    0    0     0     0 2113 1767  6  1 93  0  0
 1  0      0 12592896 657200 8314736    0    0     0     0 2316 1996  5  2 93  0  0
 1  0      0 12592644 657200 8314828    0    0     0     0 2284 2206  6  1 93  0  0
 1  0      0 12624852 657200 8314832    0    0     0   216 2675 2300  6  1 93  0  0
 1  0      0 12596224 657204 8314832    0    0     0    80 2606 2188  6  2 93  0  0
 1  0      0 12627884 657204 8314880    0    0     0     0 2121 1787  6  1 93  0  0
 1  0      0 12628304 657204 8314884    0    0     0     0 2244 2142  6  1 93  0  0
 2  0      0 12626908 657204 8314900    0    0     0     0 2174 1925  5  1 93  0  0
 1  0      0 12606592 657204 8314928    0    0     0   132 2854 2501  5  2 93  0  0
 1  0      0 12623140 657204 8314928    0    0     0    72 2720 2470  5  2 93  0  0
 1  0      0 12623856 657204 8314952    0    0     0     0 2183 1810  6  1 93  0  0
 1  0      0 12625816 657204 8315040    0    0     0     0 2036 1682  6  1 93  0  0
 1  0      0 12624024 657204 8315040    0    0     0     0 2130 1907  5  1 93  0  0
 1  0      0 12614152 657204 8315100    0    0     0   184 2729 2336  6  2 93  0  0
 1  0      0 12624200 657212 8315136    0    0     0    80 2627 2120  6  1 93  0  0
 1  0      0 12611856 657212 8315208    0    0     0     0 2042 1633  5  1 93  0  0
 1  0      0 12623612 657220 8315276    0    0     0    56 2234 1787  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12623976 657220 8315260    0    0     0     0 2182 1847  6  1 93  0  0
 1  0      0 12611352 657220 8315340    0    0     0   292 2542 2225  6  2 93  0  0
